,pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp
3188,FF,2023-09-10,96.5,-2.41,5.81,"Robertson, Nick",669720,687798,strikeout,called_strike,,,,,3,Austin Hays called out on strikes.,R,R,R,BOS,BAL,S,2,,1,2,2023,-0.89,1.46,0.65,2.72,,,,2,9,Top,,,,,624512,,,10.40858929128982,-139.9611768609981,-6.034750006624421,-14.201613879755946,35.04762493094364,-11.731443291111706,3.24,1.55,,,,98.0,2235,7.6,716652,687798,624512,671213,649966,646240,596115,677800,678882,657077,52.93,,,0.0,1,0,0,,72,4,4-Seam Fastball,7,3,3,7,3,7,3,7,Standard,Standard,211,0.001,-0.075
3326,SL,2023-09-10,82.8,-2.93,5.55,"Robertson, Nick",669720,687798,,ball,,,,,14,Austin Hays called out on strikes.,R,R,R,BOS,BAL,B,,,0,2,2023,1.56,0.12,1.24,0.87,,,,2,9,Top,,,,,624512,,,6.518804695493186,-120.3647940673426,-4.338691063468199,13.489318195631558,27.57724325130677,-30.23163302098809,3.21,1.55,,,,82.8,2771,6.8,716652,687798,624512,671213,649966,646240,596115,677800,678882,657077,53.71,,,,,,,,72,3,Slider,7,3,3,7,3,7,3,7,Standard,Standard,65,0.0,0.009
3520,SL,2023-09-10,83.4,-2.9,5.69,"Robertson, Nick",669720,687798,,swinging_strike,,,,,12,Austin Hays called out on strikes.,R,R,R,BOS,BAL,S,,,0,1,2023,1.4,0.45,0.9,2.65,,,,2,9,Top,,,,,624512,,,6.021662859813257,-121.2966183016256,-1.3353858725763763,12.2713588154239,27.482338628534663,-27.723226779637603,3.2,1.5,,,,83.3,2758,6.6,716652,687798,624512,671213,649966,646240,596115,677800,678882,657077,53.87,,,,,,,,72,2,Slider,7,3,3,7,3,7,3,7,Standard,Standard,70,0.0,-0.024
3576,FF,2023-09-10,97.1,-2.4,5.89,"Robertson, Nick",669720,687798,,foul_tip,,,,,5,Austin Hays called out on strikes.,R,R,R,BOS,BAL,S,,,0,0,2023,-0.49,1.36,-0.03,2.17,,,,2,9,Top,,,,,624512,,,7.583605095741972,-140.983447740419,-7.557983477680624,-8.366869597019592,35.867941261209424,-12.500830882777764,3.2,1.5,,,,98.2,2078,7.3,716652,687798,624512,671213,649966,646240,596115,677800,678882,657077,53.2,,,,,,,,72,1,4-Seam Fastball,7,3,3,7,3,7,3,7,Standard,Standard,213,0.0,-0.017
3689,FF,2023-09-10,96.1,-2.41,5.83,"Robertson, Nick",656775,687798,field_out,hit_into_play,,,,,2,Cedric Mullins flies out to left fielder Wilyer Abreu.,R,L,R,BOS,BAL,X,7,fly_ball,0,1,2023,-0.77,1.26,0.21,3.03,,,,1,9,Top,84.85,126.71,,,624512,,,8.853137633938475,-139.65690938043127,-4.72874011052973,-12.191107059657124,33.26640859806992,-14.872268269769036,3.35,1.55,210,73.3,47,97.6,2207,7.3,716652,687798,624512,671213,649966,646240,596115,677800,678882,657077,53.18,0.177,0.186,0.0,1,0,0,3,71,2,4-Seam Fastball,7,3,3,7,3,7,3,7,Standard,Standard,207,0.004,-0.145
3768,CH,2023-09-10,89.8,-2.72,5.64,"Robertson, Nick",656775,687798,,swinging_strike,,,,,14,Cedric Mullins flies out to left fielder Wilyer Abreu.,R,L,R,BOS,BAL,S,,,0,0,2023,-1.38,0.28,0.07,1.07,,,,1,9,Top,,,,,624512,,,10.033027831671957,-130.35573331970534,-6.003613532377932,-17.82369061301191,27.43927372600084,-27.869552449722203,3.35,1.55,,,,91.5,1643,7.5,716652,687798,624512,671213,649966,646240,596115,677800,678882,657077,53.03,,,,,,,,71,1,Changeup,7,3,3,7,3,7,3,7,Standard,Standard,244,0.0,-0.026
4010,CH,2023-09-10,90.2,-2.72,5.56,"Robertson, Nick",656811,687798,field_out,hit_into_play,,,,,13,"Ryan O'Hearn grounds out, second baseman Luis Urias to first baseman Triston Casas.",R,L,R,BOS,BAL,X,4,ground_ball,0,2,2023,-1.31,0.5,-0.14,1.46,,,,0,9,Top,150.45,152.09,,,624512,,,9.392309990073814,-131.07730023588417,-5.406497242982476,-16.974351923957272,25.836151830187195,-25.485912913053173,3.48,1.69,5,81.4,-16,92.2,1717,7.4,716652,687798,624512,671213,649966,646240,596115,677800,678882,657077,53.09,0.086,0.089,0.0,1,0,0,2,70,4,Changeup,7,3,3,7,3,7,3,7,Strategic,Standard,247,0.008,-0.152
4065,FF,2023-09-10,95.8,-2.39,5.84,"Robertson, Nick",656811,687798,,foul,,,,,3,"Ryan O'Hearn grounds out, second baseman Luis Urias to first baseman Triston Casas.",R,L,R,BOS,BAL,S,,,0,2,2023,-0.76,1.46,0.29,3.18,,,,0,9,Top,,,,,624512,,,8.980150221755757,-139.2348744988484,-4.794680461482788,-11.9619327268511,31.77117568910728,-12.23353346726038,3.48,1.69,213,76.2,54,97.6,2172,7.4,716652,687798,624512,671213,649966,646240,596115,677800,678882,657077,53.09,,,,,,,,70,3,4-Seam Fastball,7,3,3,7,3,7,3,7,Strategic,Standard,210,0.0,0.0
4241,FF,2023-09-10,96.6,-2.29,5.87,"Robertson, Nick",656811,687798,,called_strike,,,,,9,"Ryan O'Hearn grounds out, second baseman Luis Urias to first baseman Triston Casas.",R,L,R,BOS,BAL,S,,,0,1,2023,-0.71,1.51,0.67,2.26,,,,0,9,Top,,,,,624512,,,9.776492168337354,-140.21386555891516,-7.675022654660596,-11.588729738435788,31.977274343989915,-10.69116239092078,3.53,1.75,,,,99.3,2076,8.0,716652,687798,624512,671213,649966,646240,596115,677800,678882,657077,52.54,,,,,,,,70,2,4-Seam Fastball,7,3,3,7,3,7,3,7,Strategic,Standard,214,0.0,-0.048
4367,FF,2023-09-10,96.0,-2.27,5.92,"Robertson, Nick",656811,687798,,called_strike,,,,,4,"Ryan O'Hearn grounds out, second baseman Luis Urias to first baseman Triston Casas.",R,L,R,BOS,BAL,S,,,0,0,2023,-0.76,1.45,-0.35,2.78,,,,0,9,Top,,,,,624512,,,6.910312790738593,-139.51231799238514,-6.055689773776263,-11.559435297415629,32.34207271240769,-12.09166466668374,3.47,1.69,,,,97.3,2112,7.2,716652,687798,624512,671213,649966,646240,596115,677800,678882,657077,53.33,,,,,,,,70,1,4-Seam Fastball,7,3,3,7,3,7,3,7,Strategic,Standard,211,0.0,-0.038
